label,diff_ip_num,port_entropy,all_pkt_num,ack_num,ack_rate,syn_num,syn_rate,psh_num,psh_rate,all_pkt_bytes,avg_pkt_bytes,one_quarter,two_quarter,three_quarter
1,0.1111111111111111,2.8641448093938706e-05,8.981175456243713e-05,0.007357449417535254,0.7741935483870968,0.038461538461538464,0.3225806451612903,0.005908419497784343,0.34408602150537626,4.7476137821339354e-05,0.15769623286151663,0.00412654745529574,0.009628610729023386,0.28645116918844565
1,0.19444444444444445,0.0001573283801781113,0.0004221152464434545,0.03188228080931944,0.7323943661971831,0.1076923076923077,0.1971830985915492,0.013293943870014771,0.16901408450704225,0.00013838263951314894,0.08422612705116535,0.0,0.00412654745529574,0.0281980742778542
1,0.0,2.101560918340056e-06,2.0956076064568663e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.580377863267736e-06,0.058459422283356266,0.058459422283356266,0.058459422283356266,0.058459422283356266
1,0.05555555555555555,2.1705665882247704e-05,8.68180294103559e-05,0.00797057020232986,0.8666666666666667,0.007692307692307693,0.0666666666666666,0.0029542097488921715,0.17777777777777773,1.1139292734753673e-05,0.00907840440165062,0.0010316368638239384,0.00412654745529574,0.00412654745529574
1,0.05555555555555555,3.455303464222182e-05,0.00024548546247066147,0.02329858982219497,0.9156626506024096,0.03076923076923077,0.0963855421686747,0.023633677991137372,0.5140562248995983,0.00010099947357720058,0.11570076730581196,0.00412654745529574,0.009628610729023386,0.0453920220082531
1,0.13888888888888887,2.780243138910354e-05,3.891842697705609e-05,0.003678724708767627,0.8571428571428571,0.0,0.0,0.0,0.0,6.3369483235761504e-06,0.02264688543918257,0.0,0.00412654745529574,0.00412654745529574
1,0.41666666666666663,0.4778480099777507,0.2814880011495905,0.2611894543225015,0.0090612270943452,0.23846153846153847,0.0006593850702457,0.28508124076809455,0.005473605099244533,0.280668130914892,0.34133618063318144,0.3425034387895461,0.3425034387895461,0.3425034387895461
1,0.08333333333333334,0.005055638137007759,0.0029727690760166688,0.01103617412630288,0.0362173038229376,0.038461538461538464,0.0100603621730382,0.011816838995568686,0.021462105969148132,0.0028955507582907195,0.3321967568824225,0.3425034387895461,0.3425034387895461,0.3425034387895461
1,0.22222222222222224,6.299044569321482e-05,0.00021255448579776787,0.01594114040465972,0.7222222222222222,0.046153846153846156,0.1666666666666666,0.005908419497784343,0.14814814814814814,9.630444412493205e-05,0.13132355188751338,0.0,0.00412654745529574,0.01306740027510317
1,0.33333333333333326,0.001939986227275658,0.001371126119653207,0.01778050275904353,0.1263616557734204,0.007692307692307693,0.0043572984749455,0.0,0.0,0.001202925568898597,0.29483087748319564,0.3425034387895461,0.3425034387895461,0.3425034387895461
