diff_ip_num,port_entropy,all_pkt_num,ack_num,ack_rate,syn_num,syn_rate,psh_num,psh_rate,all_pkt_bytes,avg_pkt_bytes,one_quarter,two_quarter,three_quarter
2,2.0,3,2,0.6666666666666666,2,0.6666666666666666,0,0.0,214,71.33333333333333,70.0,74.0,74.0
2,2.0,3,3,1.0,0,0.0,0,0.0,198,66.0,66.0,66.0,66.0
2,1349.1755256127985,1253,961,0.7669592976855547,296,0.23623304070231443,280,0.22346368715083798,182710,145.81803671189147,66.0,66.0,74.0
2,13.0,16,12,0.75,0,0.0,8,0.5,3888,243.0,64.5,181.5,360.0
2,1329.9712173276027,812,655,0.8066502463054187,295,0.3633004926108374,195,0.24014778325123154,89855,110.6588669950739,66.0,74.0,74.0
2,140.35614381022526,32,11,0.34375,23,0.71875,7,0.21875,3921,122.53125,74.0,74.0,74.0
2,29.58114993210028,13,11,0.8461538461538461,3,0.23076923076923078,8,0.6153846153846154,2738,210.6153846153846,74.0,297.0,297.0
2,157.05379792675447,38,17,0.4473684210526316,23,0.6052631578947368,11,0.2894736842105263,5241,137.92105263157896,74.0,74.0,297.0
2,20.48980317112888,11,8,0.7272727272727273,4,0.36363636363636365,5,0.45454545454545453,1913,173.9090909090909,74.0,74.0,297.0
2,121.60768257722124,32,12,0.375,22,0.6875,7,0.21875,3905,122.03125,74.0,74.0,74.0
2,490.5440483400775,125,106,0.848,21,0.168,54,0.432,10196,81.568,66.0,74.0,74.0
2,41.093109404391484,16,12,0.75,6,0.375,8,0.5,2960,185.0,74.0,185.5,297.0
2,137.42161888161945,29,10,0.3448275862068966,20,0.6896551724137931,7,0.2413793103448276,4126,142.27586206896552,74.0,74.0,74.0
2,20.044996783472936,17,14,0.8235294117647058,5,0.29411764705882354,8,0.47058823529411764,3155,185.58823529411765,74.0,74.0,297.0
2,127.87071698305503,32,12,0.375,22,0.6875,7,0.21875,3905,122.03125,74.0,74.0,74.0
2,120.87071698305503,32,13,0.40625,21,0.65625,8,0.25,4128,129.0,74.0,74.0,129.75
2,36.192645077942394,16,12,0.75,5,0.3125,8,0.5,2944,184.0,74.0,185.5,297.0
2,150.4334925280689,40,21,0.525,21,0.525,12,0.3,5588,139.7,74.0,74.0,297.0
2,46.767681445098944,36,28,0.7777777777777778,14,0.3888888888888889,9,0.25,4567,126.86111111111111,66.0,74.0,129.75
2,229.70674393177262,103,70,0.6796116504854369,49,0.47572815533980584,22,0.21359223300970873,12272,119.14563106796116,66.0,74.0,74.0
2,374.9215851010767,188,139,0.7393617021276596,81,0.4308510638297872,42,0.22340425531914893,22535,119.86702127659575,66.0,74.0,74.0
2,595.8890623682846,264,228,0.8636363636363636,67,0.2537878787878788,87,0.32954545454545453,27576,104.45454545454545,66.0,74.0,74.0
2,365.3025698098877,192,142,0.7395833333333334,84,0.4375,42,0.21875,23046,120.03125,66.0,74.0,74.0
2,109.06433918496651,74,60,0.8108108108108109,22,0.2972972972972973,25,0.33783783783783783,18022,243.54054054054055,66.0,74.0,297.0
2,126.28032631773279,34,16,0.47058823529411764,20,0.5882352941176471,12,0.35294117647058826,5176,152.23529411764707,74.0,74.0,297.0
2,105.65778271764916,29,16,0.5517241379310345,15,0.5172413793103449,12,0.41379310344827586,4806,165.72413793103448,74.0,74.0,297.0
2,88.21476772854095,19,11,0.5789473684210527,8,0.42105263157894735,11,0.5789473684210527,3859,203.10526315789474,74.0,297.0,297.0
